eval/mean_reward,model/parameters,eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/extractor_type,eval/best_seq_prediction_mse,rollout/success_rate,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,eval/seq_prediction_mse,time/fps,train/loss,train/std,train/policy_gradient_loss,train/clip_range_vf,train/value_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range,train/learning_rate
-275.0150451660156,,0.0,380000,264.1,,,,,,,,,,-0.00277700275182724,0.740818202495575,0.0010409996742964723,0.3,0.06919180555269122,0.004822008,0.0694854736328125,110,-4.256815433502197,0.4476727843284607,0.19279104000000002,9.3151488e-05
,,,393216,,,,0.0,297.88,12,-286.0170593261719,1144,1.0899899482727051,343,,,,,,,,,,,,
-261.01898193359375,,0.0,400000,263.5,,,,,,,,,,0.0024574119597673416,0.740818202495575,0.0010264874348649756,0.3,0.06655260394327342,0.004289529,0.0634674072265625,120,-4.256815433502197,0.5453901588916779,0.19213568,9.2528896e-05
-257.28802490234375,,0.0,420000,234.2,,,,,,,,1.1198188602924346,,,,,,,,,,,,,
,,,425984,,,,0.0,304.99,13,-290.5104675292969,1253,1.1237371444702149,339,,,,,,,,,,,,
-264.66314697265625,,0.0,440000,233.3,,,,,,,,,,-0.0012913290411233902,0.740818202495575,0.0008685896842507646,0.3,0.06865872722119093,0.003993721,0.05137939453125,130,-4.256815433502197,0.5600301623344421,0.19148032,9.1906304e-05
,,,458752,,,,0.0,301.15,14,-288.5685119628906,1337,0.9722842097282409,342,,,,,,,,,,,,
-258.5067138671875,,0.0,460000,180.2,,,,,,,,,,0.0009710527956485748,0.740818202495575,0.0009246410962077789,0.3,0.07694863197393716,0.0041588806,0.0574920654296875,140,-4.256815433502197,0.44495880603790283,0.19082496000000002,9.1283712e-05
-262.297119140625,,0.0,480000,221.5,,,,,,,,1.2269242882728577,,,,,,,,,,,,,
,,,491520,,,,0.0,292.92,15,-293.56793212890625,1440,1.078541362285614,341,,,,,,,,,,,,
-266.8877258300781,,0.0,500000,284.3,,,,,,,,,,0.0009401571005582809,0.740818202495575,0.0008733204114832916,0.3,0.06709250947460532,0.0033895292,0.0468170166015625,150,-4.256815433502197,0.3964462876319885,0.19016960000000002,9.066112000000001e-05
-231.19180297851562,,0.0,520000,147.4,,,,,,,,1.1032137632369996,,,,,,,,,,,,,
,,,524288,,,,0.0,291.11,16,-283.44635009765625,1549,1.1613991379737854,338,,,,,,,,,,,,
-260.4314270019531,,0.0,540000,216.1,,,,,,,,,,0.00042017921805381775,0.740818202495575,0.000317553313652752,0.3,0.07422685180790722,0.0036507738,0.05252685546875,160,-4.256815433502197,0.4754052758216858,0.18951424,9.0038528e-05
,,,557056,,,,0.0,278.32,17,-279.41143798828125,1627,1.0416181683540344,342,,,,,,,,,,,,
-265.7799987792969,,0.0,560000,241.5,,,,,,,,,,0.0020442120730876923,0.740818202495575,-1.029084378387779e-05,0.3,0.071163349179551,0.004460427,0.052972412109375,170,-4.256815433502197,0.45588868856430054,0.18885888,8.9415936e-05
-247.96337890625,,0.0,580000,184.9,,,,,,,,1.234239512681961,,,,,,,,,,,,,
,,,589824,,,,0.0,283.54,18,-284.40411376953125,1732,1.1117966532707215,340,,,,,,,,,,,,
