time,npos,epos,h,alpha,beta,phi,theta,psi,p,q,r,TAS,ail,ele,rud,thrust,ail_cmd,ele_cmd,rud_cmd,thrust_cmd,vn,ve,vh,mu,chi,nx,ny,nz,nx_ref,ny_ref,nz_ref,Fx,Fy,Fz,Mx,My,Mz,lon,lat,lef,lef_cmd,Cz,delta_Cz_lef,Czq,delta_Czq_lef,Cm,delta_Cm_lef,Cmq,delta_Cmq_lef,delta_Cm,delta_Cm_ds,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
2.000000,402.106669,-3.102414,4994.805494,2.352321,-0.534184,-36.416932,0.917890,-2.482289,-70.790642,-3.389701,-4.712974,200.225527,-9.848936,0.266767,-3.173308,2762.230563,-9.848936,0.266767,-3.173308,2762.230563,200.452597,-5.304495,-4.523352,-1.294495,-1.515841,-0.048554,-0.030653,-0.928480,-0.064574,-0.624234,-0.123865,-7189.808495,-2795.231082,-84666.493372,113219.956424,-16238.281428,24009.794743,122.424967,31.428622,0.000000,0.000000,-0.189091,-0.067361,-29.970464,-0.293882,-0.058019,0.035002,-5.465886,0.259409,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.100000,422.151929,-3.632863,4994.353159,1.913617,-0.529537,-43.491060,0.356275,-2.625673,-20.167361,-4.213128,-2.625029,200.162997,0.336106,0.088035,-1.303451,604.945410,0.336106,0.088035,-1.303451,604.945410,200.994535,-5.940063,-4.901938,-1.403298,-1.692790,-0.080070,0.024584,-0.796106,-0.086288,-0.663644,-0.070638,-7906.417402,2241.799802,-72595.542775,9405.686114,-12578.797990,715.885736,122.424962,31.428803,0.000000,0.000000,-0.157213,-0.068645,-29.882723,-0.127175,-0.057019,0.034662,-5.468518,0.257654,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.200000,442.251383,-4.226869,4993.862965,1.455574,-0.522048,-45.509347,-0.128613,-2.517512,-15.980684,-5.089062,-2.621086,200.082219,-1.982723,-0.299248,-1.314882,121.154104,-1.982723,-0.299248,-1.314882,121.154104,200.558982,-6.460151,-5.328320,-1.526004,-1.844901,-0.096496,0.015922,-0.651979,-0.094251,-0.697441,0.048812,-8920.456691,1451.940046,-59452.819912,24810.580554,-6213.188686,4291.295699,122.424956,31.428984,0.000000,0.000000,-0.122426,-0.069989,-29.791115,0.046882,-0.053967,0.034306,-5.471267,0.255822,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.300000,462.307281,-4.872884,4993.330133,0.947073,-0.497425,-47.109657,-0.669968,-2.330480,-4.905867,-5.496910,-2.265892,199.997327,0.506990,-0.667867,-1.044453,31.953690,0.506990,-0.667867,-1.044453,31.953690,200.226267,-6.904741,-5.872498,-1.682611,-1.975045,-0.110624,0.024714,-0.504478,-0.098931,-0.707893,0.176073,-10119.592552,2253.638668,-46002.446459,-349.257738,-647.824653,-153.044487,122.424949,31.429165,0.000000,0.000000,-0.084410,-0.071508,-29.689415,0.240112,-0.051207,0.033909,-5.474318,0.253788,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
992,-7.873264,-0.291118,-21.800064,-0.922032,0.742108,199.085933,-0.694046,-2.618277,-0.480846,974.701602,-0.694046,-2.618277,-0.480846,974.701602,198.623160,0.357673,-22.568588,-6.509101,0.103176,-0.130621,-0.041775,0.069092,0.006361,-0.174361,1.050752,-12885.793211,-3809.422982,6300.388880,14244.004149,19291.163453,8170.431586,122.425005,31.429311,0.000000,0.000000,0.078927,-0.064956,-29.500000,1.421964,-0.038466,0.034066,-4.933792,0.947344,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.500000,498.411144,0.546113,4971.542073,-1.098315,0.501291,-9.885683,-7.953097,-0.202794,-15.392378,0.496892,1.363283,199.067063,-2.527710,-1.840479,0.224374,213.202831,-2.527710,-1.840479,0.224374,213.202831,198.229333,0.362094,-23.584614,-6.804140,0.104659,-0.133281,-0.036537,-0.039711,0.005081,-0.206569,0.935966,-12366.865308,-3331.784351,-3621.157651,26196.606082,8299.688108,6841.264312,122.425006,31.429490,0.000000,0.000000,0.058470,-0.066646,-29.500000,1.280956,-0.045137,0.033884,-5.027494,0.827714,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.600000,518.234077,0.582323,4969.183611,-0.770099,0.336064,-11.443053,-7.879002,-0.076755,-3.669324,1.082905,2.013675,199.053001,0.245263,-1.222524,1.140179,22.787732,0.245263,-1.222524,1.140179,22.787732,197.913863,0.349568,-24.502474,-7.070771,0.101199,-0.131191,-0.007198,-0.156145,0.005890,-0.203719,0.814725,-11985.908679,-656.410433,-14238.558616,729.704186,-189.874868,-3395.774443,122.425006,31.429668,0.000000,0.000000,0.033114,-0.069145,-29.500000,1.077461,-0.049985,0.033616,-5.162719,0.655072,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.700000,538.025463,0.617280,4966.733364,-0.429065,0.082027,-11.834172,-7.732261,0.100331,-3.370744,1.055854,1.795931,199.047090,-0.356971,-0.722005,1.516798,3.806657,-0.356971,-0.722005,1.516798,3.806657,197.659475,0.319313,-25.304994,-7.303817,0.092559,-0.128338,0.012112,-0.262114,0.006206,-0.191103,0.707732,-11706.753977,1104.458608,-23901.690376,6736.777687,-6781.700757,-7150.985.805664,122.425056,31.429889,0.000000,0.000000,-0.416056,-0.048387,-30.711814,-0.876372,0.013689,0.038368,-5.600917,0.142912,0.019265,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.800000,562.807567,6.342043,4987.552874,6.248626,0.905567,46.510359,4.918028,7.171282,129.411604,8.279180,9.067343,200.273748,21.500000,-1.850039,6.349475,1942.109882,21.500000,-1.850039,6.349475,1942.109882,200.925651,11.471456,-0.168385,-0.048173,3.267643,0.016305,0.113241,-2.060108,-0.069425,0.836069,-1.374419,-455.287787,10326.287003,-187857.716908,-223804.454289,-7182.399025,-50197.116211,122.425067,31.430070,0.000000,0.000000,-0.447344,-0.048590,-30.699780,-0.900440,-0.029943,0.038285,-5.592343,0.150132,0.019250,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2.900000,582.900132,7.489188,4987.536035,6.491226,1.649351,59.510344,4.693125,8.375856,29.255404,9.190540,2.772191,200.072286,21.500000,-6.402262,-0.803730,20501.777492,21.500000,-6.402262,-0.803730,20501.777492,202.837419,12.860280,-0.122534,-0.035091,3.627806,0.195968,-0.053299,-1.979067,0.114149,0.805532,-1.473386,-2631.811279,-4860.277216,-180467.721499,-188417.819347,48947.675016,-1405.378009,122.425079,31.430251,0.000000,0.000000,-0.427298,-0.044351,-30.738596,-0.822808,0.015851,0.038593,-5.620000,0.126842,0.019298,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
