eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/parameters,model/extractor_type,eval/mean_reward,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,eval/seq_prediction_mse,time/iterations,rollout/ep_len_mean,eval/best_seq_prediction_mse,train/explained_variance,train/clip_range_vf,train/entropy_loss,train/std,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss
0.0,1060000,325.0,,,-275.3402099609375,,,,,,,,,0.0765569806098938,0.3,-4.256815433502197,0.740818202495575,0.001767499023117125,0.064910888671875,64,-0.04198572784662247,0.0041466462,8.0077056e-05,0.17902848000000002,0.14227904193103313
0.0,1080000,362.6,,,-264.41888427734375,,,,,0.6940703839063644,,,,,,,,,,,,,,,
,1081344,,,,,3019,-289.511962890625,358,0.0,0.7656709223985672,33,399.0,,,,,,,,,,,,,
0.0,1100000,252.1,,,-242.55130004882812,,,,,,,,,0.1108505129814148,0.3,-4.256815433502197,0.740818202495575,0.001559248281409964,0.059722900390625,66,-0.04133995994925499,0.0036921112,7.9454464e-05,0.17837312,0.13594644889235497
,1114112,,,,,3085,-293.3980712890625,361,0.0,0.7407082080841064,34,399.0,,,,,,,,,,,,,
0.0,1120000,363.3,,,-296.9373474121094,,,,,,,,,0.11066144704818726,0.3,-4.256815433502197,0.740818202495575,0.0014018103829585016,0.0662078857421875,68,-0.044109031558036804,0.0040965574,7.8831872e-05,0.17771776,0.12319892412051558
0.0,1140000,257.0,,,-244.45516967773438,,,,,0.6714888751506806,,,,,,,,,,,,,,,
,1146880,,,,,3194,-296.46661376953125,358,0.0,0.7317320853471756,35,399.0,,,,,,,,,,,,,
0.0,1160000,274.9,,,-262.99871826171875,,,,,,,,,0.13062834739685059,0.3,-4.256815433502197,0.740818202495575,0.0019180218369001523,0.0690765380859375,70,-0.05335383862257004,0.004007671,7.820928e-05,0.1770624,0.10802726726979017
,1179648,,,,,3262,-290.4319152832031,361,0.0,0.7332217633724213,36,399.0,,,,,,,,,,,,,
0.0,1180000,289.8,,,-256.0539245605469,,,,,,,,,0.1424596905708313,0.3,-4.256815433502197,0.740818202495575,0.0014066786316107027,0.0756378173828125,72,-0.05028115212917328,0.004559038,7.7586688e-05,0.17640704000000001,0.1015308047644794
0.0,1200000,309.2,,,-270.25482177734375,,,,,0.6591407030820846,,,,,,,,,,,,,,,
,1212416,,,,,3370,-284.8704833984375,359,0.0,0.5928221642971039,37,395.59,,,,,,,,,,,,,
0.0,1220000,289.8,,,-287.3477783203125,,,,,,,,,0.11328721046447754,0.3,-4.256815433502197,0.740818202495575,0.0012357142550172284,0.05303955078125,74,-0.05050966516137123,0.0033829655,7.6964096e-05,0.17575168000000002,0.09478300483897328
0.0,1240000,326.2,,,-287.2823791503906,,,,,0.7209355533123016,,,,,,,,,,,,,,,
,1245184,,,,,3477,-276.0611877441406,358,0.0,0.6985194951295852,38,399.0,,,,,,,,,,,,,
0.0,1260000,364.4,,,-282.2488708496094,,,,,,,,,0.1090705394744873,0.3,-4.256815433502197,0.740818202495575,0.001548081636428833,0.0595550537109375,76,-0.058790795505046844,0.0035520878,7.6341504e-05,0.17509632,0.08683439763262868
,1277952,,,,,3554,-289.2743225097656,359,0.0,0.7028245210647583,39,395.43,,,,,,,,,,,,,
0.0,1280000,258.1,,,-252.3018341064453,,,,,,,,,0.11675941944122314,0.3,-4.256815433502197,0.740818202495575,0.0012262471718713641,0.0489654541015625,78,-0.06181880086660385,0.0031800338,7.5718912e-05,0.17444096,0.08140078745782375
0.0,1300000,224.3,,,-256.5906066894531,,,,,0.7596058368682861,,,,,,,,,,,,,,,
